name,record,record_len,accel-system.cpu.numCycles,accel-simInsts,accel-simOps,accel-zeroCount,accel-sameAdd,accel-switchingAdd,accel-sameDiv,accel-switchingDiv,naive-system.cpu.numCycles,naive-simInsts,naive-simOps,naive-zeroCount,naive-sameAdd,naive-switchingAdd,naive-sameDiv,naive-switchingDiv,exit_code
imagenet1k_vitb,44,1000,3181,38,38,48,11,2005,10,990,5473559,64009,64009,0,0,0,0,0,0x002503e8
imagenet1k_vitb,45,1000,3181,38,38,59,8,2008,8,992,5473609,64009,64009,0,0,0,0,0,0x039f03e8
imagenet1k_vitb,46,1000,3181,38,38,61,9,2007,8,992,5473483,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,47,1000,3181,38,38,52,8,2008,7,993,5473580,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,54,1000,3181,38,38,376,189,1827,163,837,5473371,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,55,1000,3181,38,38,237,74,1942,63,937,5473352,64009,64009,0,0,0,0,0,0x001903e8
imagenet1k_vitb,56,1000,3181,38,38,113,30,1986,25,975,5473811,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,57,1000,3181,38,38,46,5,2011,4,996,5473580,64009,64009,0,0,0,0,0,0x00f303e8
imagenet1k_vitb,58,1000,3181,38,38,84,12,2004,10,990,5473596,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,59,1000,3181,38,38,156,30,1986,26,974,5473470,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,24,1000,3181,38,38,64,11,2005,10,990,5473546,64009,64009,0,0,0,0,0,0x023c03e8
imagenet1k_vitb,25,1000,3181,38,38,141,39,1977,35,965,5473266,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,26,1000,3181,38,38,44,10,2006,8,992,5473510,64009,64009,0,0,0,0,0,0x000503e8
imagenet1k_vitb,27,1000,3181,38,38,106,15,2001,11,989,5473769,64009,64009,0,0,0,0,0,0x001303e8
imagenet1k_vitb,28,1000,3181,38,38,41,6,2010,6,994,5473538,64009,64009,0,0,0,0,0,0x000d03e8
imagenet1k_vitb,29,1000,3181,38,38,113,29,1987,26,974,5473706,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,78,1000,3181,38,38,218,66,1950,56,944,5473484,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,79,1000,3181,38,38,96,15,2001,13,987,5473587,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,80,1000,3181,38,38,161,33,1983,25,975,5473361,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,81,1000,3181,38,38,145,37,1979,29,971,5473266,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,82,1000,3181,38,38,44,9,2007,7,993,5473531,64009,64009,0,0,0,0,0,0x000103e8
imagenet1k_vitb,83,1000,3181,38,38,91,12,2004,11,989,5473238,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,90,1000,3181,38,38,58,7,2009,3,997,5473560,64009,64009,0,0,0,0,0,0x000003e8
